cve,cvssV3,cvssV2
CVE-2003-0001,NA,5.0
CVE-2003-0002,NA,6.8
CVE-2003-0003,NA,7.5
CVE-2003-0004,NA,7.2
CVE-2003-0007,NA,5.0
CVE-2003-0009,NA,6.8
CVE-2003-0010,NA,7.5
CVE-2003-0011,NA,5.0
CVE-2003-0012,NA,2.1
CVE-2003-0013,NA,7.5
CVE-2003-0014,NA,4.6
CVE-2003-0015,NA,7.5
CVE-2003-0016,NA,7.5
CVE-2003-0017,NA,5.0
CVE-2003-0018,NA,3.6
CVE-2003-0019,NA,7.2
CVE-2003-0020,NA,5.0
CVE-2003-0021,NA,5.0
CVE-2003-0022,NA,5.0
CVE-2003-0023,NA,5.0
CVE-2003-0024,NA,7.5
CVE-2003-0025,NA,7.5
CVE-2003-0026,NA,7.5
CVE-2003-0027,NA,5.0
CVE-2003-0028,NA,7.5
CVE-2003-0030,NA,10.0
CVE-2003-0031,NA,7.5
CVE-2003-0032,NA,5.0
CVE-2003-0033,NA,10.0
CVE-2003-0034,NA,7.2
CVE-2003-0035,NA,7.2
CVE-2003-0036,NA,6.2
CVE-2003-0037,NA,7.5
CVE-2003-0038,NA,4.3
CVE-2003-0039,NA,5.0
CVE-2003-0040,NA,7.5
CVE-2003-0041,NA,10.0
CVE-2003-0042,NA,5.0
CVE-2003-0043,NA,5.0
CVE-2003-0044,NA,6.8
CVE-2003-0045,NA,5.0
CVE-2003-0046,NA,4.6
CVE-2003-0047,NA,4.6
CVE-2003-0048,NA,4.6
CVE-2003-0049,NA,7.5
CVE-2003-0050,NA,7.5
CVE-2003-0051,NA,5.0
CVE-2003-0052,NA,5.0
CVE-2003-0053,NA,4.3
CVE-2003-0054,NA,7.5
CVE-2003-0055,NA,7.5
CVE-2003-0056,NA,7.2
CVE-2003-0057,NA,7.5
CVE-2003-0058,NA,5.0
CVE-2003-0059,NA,7.5
CVE-2003-0060,NA,7.5
CVE-2003-0061,NA,7.2
CVE-2003-0062,NA,7.2
CVE-2003-0063,NA,7.5
CVE-2003-0064,NA,7.5
CVE-2003-0065,NA,7.5
CVE-2003-0066,NA,7.5
CVE-2003-0067,NA,7.5
CVE-2003-0068,NA,7.5
CVE-2003-0069,NA,7.5
CVE-2003-0070,NA,6.8
CVE-2003-0071,NA,2.1
CVE-2003-0072,NA,5.0
CVE-2003-0073,NA,5.0
CVE-2003-0074,NA,7.2
CVE-2003-0075,NA,7.5
CVE-2003-0076,NA,6.4
CVE-2003-0077,NA,7.5
CVE-2003-0078,NA,5.0
CVE-2003-0079,NA,2.1
CVE-2003-0080,NA,7.5
CVE-2003-0081,NA,7.5
CVE-2003-0082,NA,5.0
CVE-2003-0083,NA,5.0
CVE-2003-0084,NA,7.5
CVE-2003-0085,NA,10.0
CVE-2003-0086,NA,1.2
CVE-2003-0087,NA,7.2
CVE-2003-0088,NA,7.2
CVE-2003-0089,NA,7.2
CVE-2003-0090,NA,NA
CVE-2003-0091,NA,7.2
CVE-2003-0092,NA,7.2
CVE-2003-0093,NA,5.0
CVE-2003-0094,NA,5.0
CVE-2003-0095,NA,10.0
CVE-2003-0096,NA,9.0
CVE-2003-0097,NA,7.5
CVE-2003-0098,NA,10.0
CVE-2003-0099,NA,7.2
CVE-2003-0100,NA,7.5
CVE-2003-0101,NA,10.0
CVE-2003-0102,NA,4.6
CVE-2003-0103,NA,5.0
CVE-2003-0104,NA,5.0
CVE-2003-0105,NA,5.0
CVE-2003-0106,NA,7.5
CVE-2003-0107,NA,7.5
CVE-2003-0108,NA,5.0
CVE-2003-0109,NA,7.5
CVE-2003-0110,NA,5.0
CVE-2003-0111,NA,7.5
CVE-2003-0112,NA,4.6
CVE-2003-0113,NA,7.5
CVE-2003-0114,NA,5.0
CVE-2003-0115,NA,7.5
CVE-2003-0116,NA,5.0
CVE-2003-0117,NA,7.5
CVE-2003-0118,NA,7.5
CVE-2003-0119,NA,7.5
